,School,State,ACT_Score,SAT_Score,Retention_Rate,Ave_Earning,Graduation_Rate
1202,Franklin W Olin College of Engineering,MA,35.0,1522.0,1.0,98699.0,0.7778
1203,DigiPen Institute of Technology,WA,28.0,1282.0,0.7067,53333.0,0.3103
1204,University of California-Merced,CA,23.0,1123.0,0.8148,44264.0,0.3794
1205,Ave Maria University,FL,24.0,1169.0,0.718,37523.0,0.4646
1206,University of South Florida-St Petersburg,FL,25.0,1188.0,0.7429,43307.0,0.1848
1207,Arizona State University-Downtown Phoenix,AZ,23.0,1162.0,0.856,46621.0,0.5939
1208,Visible Music College,TN,19.0,1060.0,0.85,26744.0,0.4091
1209,The King's College,NY,27.0,1237.0,0.7852,40129.0,0.4378
1210,Providence Christian College,CA,22.0,1120.0,0.7742,28219.0,0.3333
1211,University of Minnesota-Rochester,MN,24.0,1180.0,0.8011,51092.0,0.5143
1212,John Paul the Great Catholic University,CA,25.0,1128.0,0.8,37234.0,0.5897
1213,University of Connecticut-Hartford Campus,CT,24.0,1119.0,0.8395,56144.0,0.4153
1214,Criswell College,TX,19.0,1001.0,0.7333,39066.0,0.0
1215,Pennsylvania State University-World Campus,PA,24.0,1139.0,0.6162,48262.0,0.1463
1216,Augusta University,GA,23.0,1172.0,0.7279,35634.0,0.0946
1217,Middle Georgia State University,GA,18.0,980.0,0.6392,32536.0,0.113
1218,University of North Georgia,GA,23.0,1130.0,0.7886,37199.0,0.3174
1219,Kennesaw State University,GA,24.0,1173.0,0.7853,43250.0,0.1396
1220,Milligan University,TN,25.0,1213.0,0.7108,39263.0,0.6322
1221,Husson University,ME,20.0,1035.0,0.7486,38215.0,0.2807
1222,Carolina University,NC,18.0,978.0,0.5156,28038.0,0.069
1223,Purdue University Northwest,IN,22.0,1022.0,0.6944,38320.0,0.1563
